[ 2026-03-29 17:27:47,949 ] 161 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2026-03-29 17:28:03,106 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2026-03-29 17:28:04,581 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2026-03-29 17:28:05,497 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-03-29 17:28:05,501 ] 107 dagshub - INFO - Accessing as Itisingh3
[ 2026-03-29 17:28:06,967 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Itisingh3/NETWORK-SECURITY "HTTP/1.1 200 OK"
[ 2026-03-29 17:28:08,445 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-03-29 17:28:08,446 ] 107 dagshub - INFO - Initialized MLflow to track repo "Itisingh3/NETWORK-SECURITY"
[ 2026-03-29 17:28:08,447 ] 107 dagshub - INFO - Repository Itisingh3/NETWORK-SECURITY initialized!
[ 2026-03-29 17:28:08,447 ] 19 root - INFO - Initiate the data ingestion
[ 2026-03-29 17:28:19,833 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-03-29 17:28:19,833 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-29 17:28:19,834 ] 72 root - INFO - Exporting train and test file path.
[ 2026-03-29 17:28:19,876 ] 81 root - INFO - Exported train and test file path.
[ 2026-03-29 17:28:19,876 ] 21 root - INFO - Data Initiation Completed
[ 2026-03-29 17:28:19,881 ] 25 root - INFO - Initiate the data Validation
[ 2026-03-29 17:28:19,936 ] 32 root - INFO - Required number of columns:2
[ 2026-03-29 17:28:19,936 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-29 17:28:19,936 ] 32 root - INFO - Required number of columns:2
[ 2026-03-29 17:28:19,936 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-29 17:28:20,053 ] 27 root - INFO - data Validation Completed
[ 2026-03-29 17:28:20,053 ] 30 root - INFO - data Transformation started
[ 2026-03-29 17:28:20,053 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-29 17:28:20,053 ] 63 root - INFO - Starting data transformation
[ 2026-03-29 17:28:20,069 ] 46 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-29 17:28:20,069 ] 51 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-29 17:28:20,081 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-29 17:28:20,084 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-29 17:28:20,085 ] 34 root - INFO - data Transformation completed
[ 2026-03-29 17:28:20,085 ] 36 root - INFO - Model Training sstared
[ 2026-03-29 17:31:37,756 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-29 17:31:37,758 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-29 17:31:37,758 ] 126 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_29_2026_17_27_48\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913993726601235, precision_score=0.988498789346247, recall_score=0.9943170286178201), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.977705715443859, precision_score=0.9749393694421988, recall_score=0.9804878048780488))
[ 2026-03-29 17:31:37,760 ] 41 root - INFO - Model Training artifact created
