[ 2026-03-29 16:54:06,396 ] 161 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2026-03-29 16:54:16,411 ] 19 root - INFO - Initiate the data ingestion
[ 2026-03-29 16:54:30,949 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-03-29 16:54:30,949 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-29 16:54:30,951 ] 72 root - INFO - Exporting train and test file path.
[ 2026-03-29 16:54:31,059 ] 81 root - INFO - Exported train and test file path.
[ 2026-03-29 16:54:31,060 ] 21 root - INFO - Data Initiation Completed
[ 2026-03-29 16:54:31,070 ] 25 root - INFO - Initiate the data Validation
[ 2026-03-29 16:54:31,191 ] 32 root - INFO - Required number of columns:2
[ 2026-03-29 16:54:31,191 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-29 16:54:31,191 ] 32 root - INFO - Required number of columns:2
[ 2026-03-29 16:54:31,191 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-29 16:54:31,486 ] 27 root - INFO - data Validation Completed
[ 2026-03-29 16:54:31,487 ] 30 root - INFO - data Transformation started
[ 2026-03-29 16:54:31,487 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-29 16:54:31,487 ] 63 root - INFO - Starting data transformation
[ 2026-03-29 16:54:31,546 ] 46 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-29 16:54:31,547 ] 51 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-29 16:54:31,570 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-29 16:54:31,577 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-29 16:54:31,579 ] 34 root - INFO - data Transformation completed
[ 2026-03-29 16:54:31,580 ] 36 root - INFO - Model Training sstared
[ 2026-03-29 17:01:01,271 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-29 17:01:01,273 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-29 17:01:01,273 ] 123 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_29_2026_16_54_07\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915727485023861, precision_score=0.9908685064935064, recall_score=0.9922779922779923), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9733656174334141, precision_score=0.9710144927536232, recall_score=0.9757281553398058))
[ 2026-03-29 17:01:01,276 ] 41 root - INFO - Model Training artifact created
